|eventname                                                                                           |lastn                                                                                               |firstn                                                                                              |country                                                                                             |gender                                                                                              |medal                                                                                               |
|200M Butterfly                                                                                      |jedrzejczak                                                                                         |otylia                                                                                              |POL                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Butterfly                                                                                      |thomas                                                                                              |petria                                                                                              |AUS                                                                                                 |Women                                                                                               |Silver                                                                                              |
|200M Freestyle                                                                                      |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Freestyle                                                                                      |thorpe                                                                                              |ian                                                                                                 |AUS                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Freestyle                                                                                      |van den hoogenband                                                                                  |pieter                                                                                              |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Freestyle                                                                                      |figues                                                                                              |solenne                                                                                             |FRA                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Freestyle                                                                                      |potec                                                                                               |camelia                                                                                             |ROU                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Freestyle                                                                                      |pellegrini                                                                                          |federica                                                                                            |ITA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|200M Individual Medley                                                                              |bovell                                                                                              |george                                                                                              |TRI                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Individual Medley                                                                              |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Individual Medley                                                                              |lochte                                                                                              |ryan                                                                                                |USA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Individual Medley                                                                              |coventry                                                                                            |kirsty                                                                                              |ZIM                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Individual Medley                                                                              |klochkova                                                                                           |yana                                                                                                |UKR                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Individual Medley                                                                              |beard                                                                                               |amanda                                                                                              |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|400M Freestyle                                                                                      |keller                                                                                              |klete                                                                                               |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|400M Freestyle                                                                                      |thorpe                                                                                              |ian                                                                                                 |AUS                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|400M Freestyle                                                                                      |hackett                                                                                             |grant                                                                                               |AUS                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|400M Freestyle                                                                                      |sandeno                                                                                             |kaitlin                                                                                             |USA                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|400M Freestyle                                                                                      |manaudou                                                                                            |laure                                                                                               |FRA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|400M Freestyle                                                                                      |jedrzejczak                                                                                         |otylia                                                                                              |POL                                                                                                 |Women                                                                                               |Silver                                                                                              |
|400M Individual Medley                                                                              |cseh                                                                                                |laszlo                                                                                              |HUN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|400M Individual Medley                                                                              |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|400M Individual Medley                                                                              |vendt                                                                                               |erik                                                                                                |USA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|400M Individual Medley                                                                              |bardach                                                                                             |georgina                                                                                            |ARG                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|400M Individual Medley                                                                              |klochkova                                                                                           |yana                                                                                                |UKR                                                                                                 |Women                                                                                               |Gold                                                                                                |
|400M Individual Medley                                                                              |sandeno                                                                                             |kaitlin                                                                                             |USA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |crocker                                                                                             |ian                                                                                                 |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |dusing                                                                                              |nate                                                                                                |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |hall                                                                                                |gary jr.                                                                                            |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |lezak                                                                                               |jason                                                                                               |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |walker                                                                                              |neil                                                                                                |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |woodward                                                                                            |gabe                                                                                                |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|4X100M Freestyle Relay                                                                              |ferns                                                                                               |lyndon                                                                                              |RSA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |neethling                                                                                           |ryk                                                                                                 |RSA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |schoeman                                                                                            |roland                                                                                              |RSA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |townsend                                                                                            |darian                                                                                              |RSA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|4X100M Freestyle Relay                                                                              |kenkhuis                                                                                            |johan                                                                                               |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |van den hoogenband                                                                                  |pieter                                                                                              |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |veens                                                                                               |mark hermanus                                                                                       |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |zastrow                                                                                             |mitja                                                                                               |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|4X100M Freestyle Relay                                                                              |zwering                                                                                             |klaas-erik                                                                                          |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
